Comment,Description,Designator,Footprint,LibRef,Quantity

"100nf","C5, C6, C24 ; Samsung CL31B104KBCNNNC, CL31 Series 100 nF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor","C1, C7, C11","PCB-sxvxwfnl72ysl1kmtzgv-1","CMP-3079f9f9e7bfefbe-7","3"
"10nF","CAP CER 10000PF 200V X7R 1206","C2","CAPC3216X94X50NL20T25","CMP-126677-2","1"
"4.7uF","Cap Tant Solid 4.7uF 16V A CASE 20% (3.2 X 1.6 X 1.6mm) SMD 3216-18 4 Ohm 125C Automotive T/R","C3, C13","PCB-ettl7zpqwy84jw1enxbk-1","CMP-2c0ce5055315f3cb-1","2"
"68nf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.068uF 25volts X7R 10%","C4, C6","CAPC1608X95X40ML15T15","CMP-3561868-2","2"
"100nf 50v","C5, C6, C24 ; Samsung CL31B104KBCNNNC, CL31 Series 100 nF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor","C8, C9, C10","PCB-sxvxwfnl72ysl1kmtzgv-1","CMP-3079f9f9e7bfefbe-7","3"
"1000uF","Cap Aluminum 1000uF 16V 20% (10 X 15mm) Radial 5mm 630mA 2000h 85 C Bulk","C12","PCB-istokfzq22edyfs6qtvt-1","CMP-b8817116c8626746-1","1"
"LED","Yellow 3.2 x 1.6 x 1.1 mm 130° Water Clear 60 mcd 2.4 V Surface Mount LED","D1, D3, D7, D10","PCB-xrie48lm4xzasx9wklfn-1","CMP-76a0bfa2302fa967-7","4"
"0.7V","SS16 Series 700 mV 1 A 60 V Max Reverse Voltage Schottky Rectifier - DO-214AC","D2, D4, D5, D6, D12","PCB-mpde9a8lxlyik97em1of-1","CMP-2019e9161c41ffde-1","5"
"1N4007","1A 1000V DO-41","D8","DIOD-DO-41-P-2_V2","CMP-8f9b46ac0c26505c-2","1"
"IR LED","Infrared Emitting Diode, RoHS Compliant, 950 nm, GaAs 1206","D11","PCB-uv4zdh2c43xku6xcmc14-1","CMP-f5883edf75e32a4f-6","1"
"","Connector Terminal Blocks 2 Position 5.08mm Solder Straight Thru-Hole 17.5A/Contact","J1","PCB-genlv6ka4twigaugn851-1","CMP-cbef00bfe96a1428-9","1"
"TE Connectivity 796949-2","Connector Terminal Blocks 2 Position 5.08mm Solder Straight Thru-Hole 17.5A/Contact","J2","PCB-genlv6ka4twigaugn851-1","CMP-cbef00bfe96a1428-9","1"
"Microchip ATTINY85-20PU","ATTINY85-20PU; 8 bit Microcontroller AVR 20MHz 8kb Flash; 512B RAM; I2C SPI 8-Pi","MC","PCB-howdhous0xpddc353pzo-1","CMP-0093-00032-17","1"
"FCI 68001-104HLF","Conn; Rect; Header; Unshrouded; 4 Pos; 2.54mm Pitch; 1-Row; Thru-Hole; BergStik","Output","PCB-gh46f1g2sgn3bmt5txag-1","CMP-d8b113d69cb60776-12","1"
"Photo Transistor","In plastic housing- wired. Ipce: > 0.4 mA Vce: 35 volts Wavelength: 880 .. 1100nm","Q2","PCB-13pcz0bjjdb0nqme4he7-1","CMP-af0f65480adf70c8-7","1"
"1M","Res Thin Film 1206 1M Ohm 0.1% 1/4W ±15ppm/°C Molded SMD SMD Paper T/R","R1, R12, R16","PCB-1p4aqgfnlo7smfsiwe17-1","CMP-b9b0716455d06677-1","3"
"3M3","Thick Film Resistors - SMD 1206 3.3Mohms 5% Tolerance","R2, R3","RESC3216X70X50LL05T20","CMP-3688745-2","2"
"1k","Res Thick Film 1206 1K Ohm 5% 1/4W ±200ppm/°C Molded SMD SMD Paper Tape on Plastic Reel","R4","RESC3216X70X50LL20T25","CMP-6e4ea718fa08b189-1","1"
"100k","SMD Chip Resistor, 100 kOhm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose","R5","RESC3216X70X40NL20T20","CMP-2a8ee6e8dbeaf549-1","1"
"220","Res Thick Film 1206 220 Ohm 1% 0.25W(1/4W) ±100ppm/C Pad SMD T/R","R6, R17, R20, R21","Resistor","CMP-0511ccee7330dad6-2","4"
"10k","SMD Chip Resistor, 10 kOhm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, High Power","R7, R10, R15","RESC3216X70X50LL05T20","CMP-b2b67b49c4c66d71-2","3"
"470","Res Thick Film 1206 470 Ohm 1% 1/4W ±100ppm/°C Molded SMD SMD","R8","RESC3216X70X50ML05T20","CMP-cc1505eaba1d13d2-1","1"
"1.5k","SMD Chip Resistor, 1.5 kOhm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose","R9","PCB-pqzs29ijp576qs7rojw6-1","CMP-cb4a072c3a38148d-1","1"
"51k","RES SMD 51K OHM 1% 1/4W 1206","R11, R14","RESC3116X65X40NL10T20","CMP-1866195-2","2"
"10k","Resistor Cermet Trimmer 10K Ohm 10% 1/2W 21(Elec)/23(Mech)Turn 2.2mm Pin Thru-Hole Tube","R13","PCB-rluumb22kjcq45aw8vyk-1","CMP-0fd3c4877791d014-8","1"
"10k","Res Thick Film 1206 10K Ohm 5% 1/4W ±200ppm/°C Molded SMD SMD Paper Tape on Plastic Reel","R19","PCB-jciqwa15qmi0cns7xr6i-1","CMP-7136b860e571aef1-2","1"
"5k1","RES SMD 5.1K OHM 1% 1/4W 1206","R22","RESC3216X60X45LL10T20","CMP-1877943-2","1"
"","Testpoint 1mm Hole","TP1, TP2, TP3","PCB-a6m4wwq1w8vztsn322mx-1","CMP-eb34223ee69c34f3-28","3"
"","LM358 Series 30 V 1.1 MHz Low Power Dual Operational Amplifier - TSSOP-8","U1, U2","PCBComponent_1","CMP-d963106faf9806a4-2","2"
